MultiReader - Tags Read History Results
Test Description: 
Test Date: 11/08/21  Time: 11:09:20 PM

EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0x3035ebb5640d8a810092065f,1636441832.909,0,-61,0,922.250,32.50,0
0x3035ebb5640d8a810092065f,1636441832.975,0,-61,0,922.250,32.50,0
0x3035ebb5640d8a810092065f,1636441833.040,0,-61,0,922.250,32.50,0
0x3035ebb5640d8a810092065f,1636441833.108,0,-61,0,922.250,32.50,0
0x3035ebb5640d8a810092065f,1636441833.181,0,-61,0,922.250,32.50,0
0x3035ebb5640d8a810092065f,1636441833.249,0,-61,0,922.250,32.50,0
0x3035ebb5640d8a810092065f,1636441833.321,0,-61,0,922.250,32.50,0
0x3035ebb5640d8a810092065f,1636441833.372,0,-61,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441828.520,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441828.584,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441828.650,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441828.720,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441828.789,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441828.855,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441828.922,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441828.988,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.054,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.124,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.188,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.253,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.316,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.388,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.451,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.519,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.584,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.650,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.715,0,-61,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.782,0,-61,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.847,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.913,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441829.984,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.052,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.120,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.184,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.251,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.315,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.379,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.445,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.515,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.581,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.647,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.715,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.782,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.853,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.920,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441830.990,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.055,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.121,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.185,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.252,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.323,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.389,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.456,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.520,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.586,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.652,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.715,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.783,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.852,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.917,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441831.981,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441832.051,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441832.122,0,-62,0,922.250,32.50,0
0xe20035636bb6d130e6b22344,1636441832.187,0,-62,0,922.250,32.50,0
