MultiReader - Tags Read History Results
Test Description: 
Test Date: 10/12/21  Time: 4:34:26 PM

EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0xa300,1634085193.908,0,-60,0,918.250,32.50,0
0xa300,1634085193.963,0,-61,0,918.250,32.50,0
0xa300,1634085194.016,0,-61,0,918.250,32.50,0
0xa300,1634085194.069,0,-60,0,918.250,32.50,0
0xa300,1634085194.122,0,-60,0,908.750,32.50,0
0xa300,1634085194.175,0,-60,0,908.750,32.50,0
0xa300,1634085194.228,0,-61,0,908.750,32.50,0
0xa300,1634085194.281,0,-61,0,908.750,32.50,0
0xa300,1634085194.334,0,-61,0,923.750,32.50,0
0xa300,1634085194.388,0,-63,0,923.750,32.50,0
0xa300,1634085194.441,0,-62,0,923.750,32.50,0
0xa300,1634085194.495,0,-59,0,923.750,32.50,0
0xa300,1634085194.548,0,-59,0,911.250,32.50,0
0xa300,1634085194.600,0,-59,0,911.250,32.50,0
0xa300,1634085194.653,0,-60,0,911.250,32.50,0
0xa300,1634085194.706,0,-60,0,911.250,32.50,0
0xa300,1634085194.759,0,-59,0,925.750,32.50,0
0xa300,1634085194.814,0,-59,0,925.750,32.50,0
0xa300,1634085194.867,0,-59,0,925.750,32.50,0
0xa300,1634085194.920,0,-59,0,925.750,32.50,0
0xa300,1634085194.974,0,-60,0,906.750,32.50,0
0xa300,1634085195.027,0,-61,0,906.750,32.50,0
0xa300,1634085195.080,0,-61,0,906.750,32.50,0
0xa300,1634085195.133,0,-61,0,906.750,32.50,0
0xa300,1634085195.186,0,-59,0,926.750,32.50,0
0xa300,1634085195.240,0,-59,0,926.750,32.50,0
0xa300,1634085195.293,0,-59,0,926.750,32.50,0
0xa300,1634085195.346,0,-59,0,926.750,32.50,0
0xa300,1634085195.400,0,-60,0,920.750,32.50,0
0xa300,1634085195.454,0,-60,0,920.750,32.50,0
0xa300,1634085195.508,0,-59,0,920.750,32.50,0
0xa300,1634085195.561,0,-59,0,920.750,32.50,0
0xa300,1634085195.615,0,-60,0,914.250,32.50,0
0xa300,1634085195.668,0,-60,0,914.250,32.50,0
0xa300,1634085195.721,0,-60,0,914.250,32.50,0
0xa300,1634085195.773,0,-60,0,914.250,32.50,0
0xa300,1634085195.827,0,-60,0,911.750,32.50,0
0xa300,1634085195.879,0,-60,0,911.750,32.50,0
0xa300,1634085195.933,0,-60,0,911.750,32.50,0
0xa300,1634085195.989,0,-60,0,911.750,32.50,0
0xa300,1634085196.042,0,-61,0,904.750,32.50,0
0xa300,1634085196.095,0,-61,0,904.750,32.50,0
0xa300,1634085196.148,0,-61,0,904.750,32.50,0
0xa300,1634085196.200,0,-61,0,904.750,32.50,0
0xa300,1634085196.254,0,-60,0,914.750,32.50,0
0xa300,1634085196.306,0,-60,0,914.750,32.50,0
0xa300,1634085196.362,0,-60,0,914.750,32.50,0
0xa300,1634085196.415,0,-60,0,914.750,32.50,0
0xa300,1634085196.467,0,-60,0,908.250,32.50,0
0xa300,1634085196.522,0,-60,0,908.250,32.50,0
0xa300,1634085196.575,0,-60,0,908.250,32.50,0
0xa300,1634085196.628,0,-60,0,908.250,32.50,0
0xa300,1634085196.682,0,-60,0,909.750,32.50,0
0xa300,1634085196.736,0,-60,0,909.750,32.50,0
0xa300,1634085196.790,0,-60,0,909.750,32.50,0
0xa300,1634085196.843,0,-60,0,909.750,32.50,0
0xa300,1634085196.896,0,-60,0,915.750,32.50,0
0xa300,1634085196.949,0,-60,0,915.750,32.50,0
0xa300,1634085197.003,0,-60,0,915.750,32.50,0
0xa300,1634085197.056,0,-60,0,915.750,32.50,0
0xa300,1634085197.110,0,-60,0,912.750,32.50,0
0xa300,1634085197.166,0,-60,0,912.750,32.50,0
0xa300,1634085197.221,0,-60,0,912.750,32.50,0
0xa300,1634085197.275,0,-60,0,912.750,32.50,0
0xa300,1634085197.328,0,-60,0,909.250,32.50,0
0xa300,1634085197.382,0,-60,0,909.250,32.50,0
0xa300,1634085197.434,0,-60,0,909.250,32.50,0
0xa300,1634085197.487,0,-60,0,909.250,32.50,0
0xa300,1634085197.542,0,-61,0,903.250,32.50,0
0xa300,1634085197.596,0,-61,0,903.250,32.50,0
0xa300,1634085197.649,0,-61,0,903.250,32.50,0
0xa300,1634085197.701,0,-61,0,903.250,32.50,0
0xa300,1634085197.755,0,-60,0,917.250,32.50,0
0xa300,1634085197.808,0,-60,0,917.250,32.50,0
0xa300,1634085197.860,0,-60,0,917.250,32.50,0
0xa300,1634085197.913,0,-60,0,917.250,32.50,0
0xa300,1634085197.967,0,-59,0,920.250,32.50,0
0xa300,1634085198.019,0,-59,0,920.250,32.50,0
0xa300,1634085198.073,0,-59,0,920.250,32.50,0
0xa300,1634085198.128,0,-60,0,920.250,32.50,0
0xa300,1634085198.181,0,-60,0,921.750,32.50,0
0xa300,1634085198.234,0,-60,0,921.750,32.50,0
0xa300,1634085198.287,0,-60,0,921.750,32.50,0
0xa300,1634085198.340,0,-59,0,921.750,32.50,0
0xa300,1634085198.394,0,-61,0,905.750,32.50,0
0xa300,1634085198.446,0,-61,0,905.750,32.50,0
0xa300,1634085198.499,0,-61,0,905.750,32.50,0
0xa300,1634085198.552,0,-61,0,905.750,32.50,0
0xa300,1634085198.607,0,-58,0,927.250,32.50,0
0xa300,1634085198.663,0,-58,0,927.250,32.50,0
0xa300,1634085198.718,0,-58,0,927.250,32.50,0
0xa300,1634085198.771,0,-58,0,927.250,32.50,0
0xa300,1634085198.828,0,-59,0,924.750,32.50,0
0xa300,1634085198.881,0,-59,0,924.750,32.50,0
0xa300,1634085198.935,0,-59,0,924.750,32.50,0
0xa300,1634085198.990,0,-59,0,924.750,32.50,0
0xa300,1634085199.042,0,-61,0,906.250,32.50,0
0xa300,1634085199.095,0,-61,0,906.250,32.50,0
0xa300,1634085199.148,0,-61,0,906.250,32.50,0
0xa300,1634085199.201,0,-61,0,906.250,32.50,0
0xa300,1634085199.257,0,-60,0,910.250,32.50,0
0xa300,1634085199.310,0,-60,0,910.250,32.50,0
0xa300,1634085199.363,0,-60,0,910.250,32.50,0
0xa300,1634085199.416,0,-60,0,910.250,32.50,0
0xa300,1634085199.470,0,-60,0,915.250,32.50,0
0xa300,1634085199.522,0,-60,0,915.250,32.50,0
0xa300,1634085199.575,0,-60,0,915.250,32.50,0
0xa300,1634085199.629,0,-60,0,915.250,32.50,0
0xa300,1634085199.682,0,-61,0,904.250,32.50,0
0xa300,1634085199.736,0,-61,0,904.250,32.50,0
0xa300,1634085199.790,0,-61,0,904.250,32.50,0
0xa300,1634085199.844,0,-61,0,904.250,32.50,0
0xa300,1634085199.898,0,-60,0,918.750,32.50,0
0xa300,1634085199.952,0,-60,0,918.750,32.50,0
0xa300,1634085200.004,0,-60,0,918.750,32.50,0
0xa300,1634085200.057,0,-60,0,918.750,32.50,0
0xa300,1634085200.111,0,-60,0,913.250,32.50,0
0xa300,1634085200.164,0,-60,0,913.250,32.50,0
0xa300,1634085200.218,0,-60,0,913.250,32.50,0
0xa300,1634085200.272,0,-60,0,913.250,32.50,0
0xa300,1634085200.326,0,-61,0,905.250,32.50,0
0xa300,1634085200.378,0,-61,0,905.250,32.50,0
0xa300,1634085200.432,0,-61,0,905.250,32.50,0
0xa300,1634085200.484,0,-61,0,905.250,32.50,0
0xa300,1634085200.538,0,-59,0,922.250,32.50,0
0xa300,1634085200.592,0,-59,0,922.250,32.50,0
0xa300,1634085200.645,0,-60,0,922.250,32.50,0
0xa300,1634085200.698,0,-60,0,922.250,32.50,0
0xa300,1634085200.753,0,-59,0,919.750,32.50,0
0xa300,1634085200.807,0,-59,0,919.750,32.50,0
0xa300,1634085200.861,0,-60,0,919.750,32.50,0
0xa300,1634085200.914,0,-59,0,919.750,32.50,0
0xa300,1634085200.968,0,-60,0,907.750,32.50,0
0xa300,1634085201.020,0,-60,0,907.750,32.50,0
0xa300,1634085201.074,0,-60,0,907.750,32.50,0
0xa300,1634085201.128,0,-60,0,907.750,32.50,0
0xa300,1634085201.183,0,-60,0,912.250,32.50,0
0xa300,1634085201.237,0,-60,0,912.250,32.50,0
0xa300,1634085201.290,0,-60,0,912.250,32.50,0
0xa300,1634085201.343,0,-60,0,912.250,32.50,0
0xa300,1634085201.395,0,-58,0,926.250,32.50,0
0xa300,1634085201.449,0,-58,0,926.250,32.50,0
0xa300,1634085201.503,0,-58,0,926.250,32.50,0
0xa300,1634085201.557,0,-58,0,926.250,32.50,0
0xa300,1634085201.610,0,-60,0,921.250,32.50,0
0xa300,1634085201.664,0,-60,0,921.250,32.50,0
0xa300,1634085201.717,0,-60,0,921.250,32.50,0
0xa300,1634085201.770,0,-60,0,921.250,32.50,0
0xa300,1634085201.822,0,-60,0,907.250,32.50,0
0xa300,1634085201.875,0,-60,0,907.250,32.50,0
0xa300,1634085201.929,0,-60,0,907.250,32.50,0
0xa300,1634085201.984,0,-61,0,907.250,32.50,0
0xa300,1634085202.037,0,-60,0,917.750,32.50,0
0xa300,1634085202.090,0,-60,0,917.750,32.50,0
0xa300,1634085202.146,0,-60,0,917.750,32.50,0
0xa300,1634085202.199,0,-60,0,917.750,32.50,0
0xa300,1634085202.252,0,-60,0,916.750,32.50,0
0xa300,1634085202.305,0,-60,0,916.750,32.50,0
0xa300,1634085202.358,0,-60,0,916.750,32.50,0
0xa300,1634085202.411,0,-60,0,916.750,32.50,0
0xa300,1634085202.464,0,-60,0,922.750,32.50,0
0xa300,1634085202.518,0,-60,0,922.750,32.50,0
0xa300,1634085202.571,0,-59,0,922.750,32.50,0
0xa300,1634085202.626,0,-60,0,922.750,32.50,0
0xa300,1634085202.680,0,-61,0,903.750,32.50,0
0xa300,1634085202.732,0,-61,0,903.750,32.50,0
0xa300,1634085202.785,0,-61,0,903.750,32.50,0
0xa300,1634085202.838,0,-61,0,903.750,32.50,0
0xa300,1634085202.891,0,-60,0,916.250,32.50,0
0xa300,1634085202.946,0,-60,0,916.250,32.50,0
0xa300,1634085202.999,0,-60,0,916.250,32.50,0
0xa300,1634085203.052,0,-60,0,916.250,32.50,0
0xa300,1634085203.104,0,-60,0,919.250,32.50,0
0xa300,1634085203.157,0,-60,0,919.250,32.50,0
0xa300,1634085203.213,0,-60,0,919.250,32.50,0
0xa300,1634085203.266,0,-59,0,919.250,32.50,0
0xa300,1634085203.319,0,-59,0,923.250,32.50,0
0xa300,1634085203.373,0,-59,0,923.250,32.50,0
0xa300,1634085203.426,0,-59,0,923.250,32.50,0
0xa300,1634085203.478,0,-59,0,923.250,32.50,0
0xa300,1634085203.534,0,-60,0,913.750,32.50,0
0xa300,1634085203.587,0,-61,0,913.750,32.50,0
0xa300,1634085203.641,0,-60,0,913.750,32.50,0
0xa300,1634085203.694,0,-60,0,913.750,32.50,0
0xa300,1634085203.748,0,-59,0,924.250,32.50,0
0xa300,1634085203.804,0,-59,0,924.250,32.50,0
0xa300,1634085203.858,0,-59,0,924.250,32.50,0
0xa300,1634085203.911,0,-59,0,924.250,32.50,0
0xa300,1634085203.965,0,-59,0,925.250,32.50,0
0xa300,1634085204.019,0,-59,0,925.250,32.50,0
0xa300,1634085204.071,0,-59,0,925.250,32.50,0
0xa300,1634085204.125,0,-58,0,925.250,32.50,0
0xa300,1634085204.179,0,-60,0,902.750,32.50,0
0xa300,1634085204.232,0,-60,0,902.750,32.50,0
0xa300,1634085204.285,0,-60,0,902.750,32.50,0
0xa300,1634085204.338,0,-60,0,902.750,32.50,0
0xa300,1634085204.392,0,-58,0,910.750,32.50,0
0xa300,1634085204.444,0,-58,0,910.750,32.50,0
0xa300,1634085204.498,0,-57,0,910.750,32.50,0
0xa300,1634085204.552,0,-58,0,910.750,32.50,0
0xa300,1634085204.605,0,-57,0,918.250,32.50,0
0xa300,1634085204.658,0,-57,0,918.250,32.50,0
0xa300,1634085204.712,0,-57,0,918.250,32.50,0
0xa300,1634085204.764,0,-57,0,918.250,32.50,0
0xa300,1634085204.818,0,-58,0,908.750,32.50,0
0xa300,1634085204.871,0,-58,0,908.750,32.50,0
0xa300,1634085204.924,0,-58,0,908.750,32.50,0
0xa300,1634085204.978,0,-58,0,908.750,32.50,0
0xa300,1634085205.030,0,-57,0,923.750,32.50,0
0xa300,1634085205.085,0,-57,0,923.750,32.50,0
0xa300,1634085205.138,0,-57,0,923.750,32.50,0
0xa300,1634085205.191,0,-57,0,923.750,32.50,0
0xa300,1634085205.247,0,-58,0,911.250,32.50,0
0xa300,1634085205.302,0,-57,0,911.250,32.50,0
0xa300,1634085205.354,0,-58,0,911.250,32.50,0
0xa300,1634085205.407,0,-58,0,911.250,32.50,0
0xa300,1634085205.459,0,-57,0,925.750,32.50,0
0xa300,1634085205.514,0,-57,0,925.750,32.50,0
0xa300,1634085205.567,0,-57,0,925.750,32.50,0
0xa300,1634085205.620,0,-57,0,925.750,32.50,0
0xa300,1634085205.673,0,-59,0,906.750,32.50,0
0xa300,1634085205.725,0,-60,0,906.750,32.50,0
0xa300,1634085205.778,0,-60,0,906.750,32.50,0
0xa300,1634085205.831,0,-60,0,906.750,32.50,0
0xa300,1634085205.885,0,-58,0,926.750,32.50,0
0xa300,1634085205.937,0,-58,0,926.750,32.50,0
0xa300,1634085205.990,0,-58,0,926.750,32.50,0
0xa300,1634085206.043,0,-58,0,926.750,32.50,0
0xa300,1634085206.096,0,-60,0,920.750,32.50,0
0xa300,1634085206.150,0,-59,0,920.750,32.50,0
0xa300,1634085206.204,0,-59,0,920.750,32.50,0
0xa300,1634085206.256,0,-59,0,920.750,32.50,0
0xa300,1634085206.310,0,-60,0,914.250,32.50,0
0xa300,1634085206.363,0,-60,0,914.250,32.50,0
0xa300,1634085206.416,0,-60,0,914.250,32.50,0
0xa300,1634085206.469,0,-60,0,914.250,32.50,0
0xa300,1634085206.522,0,-60,0,911.750,32.50,0
0xa300,1634085206.575,0,-60,0,911.750,32.50,0
0xa300,1634085206.628,0,-60,0,911.750,32.50,0
0xa300,1634085206.683,0,-60,0,911.750,32.50,0
0xa300,1634085206.736,0,-61,0,904.750,32.50,0
0xa300,1634085206.790,0,-61,0,904.750,32.50,0
0xa300,1634085206.843,0,-61,0,904.750,32.50,0
0xa300,1634085206.896,0,-61,0,904.750,32.50,0
0xa300,1634085206.949,0,-60,0,914.750,32.50,0
0xa300,1634085207.002,0,-60,0,914.750,32.50,0
0xa300,1634085207.055,0,-60,0,914.750,32.50,0
0xa300,1634085207.108,0,-60,0,914.750,32.50,0
0xa300,1634085207.162,0,-60,0,908.250,32.50,0
0xa300,1634085207.215,0,-60,0,908.250,32.50,0
0xa300,1634085207.268,0,-60,0,908.250,32.50,0
0xa300,1634085207.321,0,-60,0,908.250,32.50,0
0xa300,1634085207.374,0,-60,0,909.750,32.50,0
0xa300,1634085207.428,0,-60,0,909.750,32.50,0
0xa300,1634085207.484,0,-60,0,909.750,32.50,0
0xa300,1634085207.536,0,-60,0,909.750,32.50,0
0xa300,1634085207.589,0,-60,0,915.750,32.50,0
0xa300,1634085207.641,0,-60,0,915.750,32.50,0
0xa300,1634085207.694,0,-60,0,915.750,32.50,0
0xa300,1634085207.747,0,-60,0,915.750,32.50,0
0xa300,1634085207.801,0,-60,0,912.750,32.50,0
0xa300,1634085207.855,0,-60,0,912.750,32.50,0
0xa300,1634085207.908,0,-60,0,912.750,32.50,0
0xa300,1634085207.961,0,-60,0,912.750,32.50,0
0xa300,1634085208.014,0,-60,0,909.250,32.50,0
0xa300,1634085208.068,0,-60,0,909.250,32.50,0
0xa300,1634085208.121,0,-60,0,909.250,32.50,0
0xa300,1634085208.174,0,-60,0,909.250,32.50,0
0xa300,1634085208.228,0,-61,0,903.250,32.50,0
0xa300,1634085208.281,0,-61,0,903.250,32.50,0
0xa300,1634085208.334,0,-61,0,903.250,32.50,0
0xa300,1634085208.387,0,-61,0,903.250,32.50,0
0xa300,1634085208.441,0,-59,0,917.250,32.50,0
0xa300,1634085208.493,0,-60,0,917.250,32.50,0
0xa300,1634085208.547,0,-60,0,917.250,32.50,0
0xa300,1634085208.601,0,-60,0,917.250,32.50,0
0xa300,1634085208.654,0,-59,0,920.250,32.50,0
0xa300,1634085208.706,0,-59,0,920.250,32.50,0
0xa300,1634085208.759,0,-59,0,920.250,32.50,0
0xa300,1634085208.813,0,-59,0,920.250,32.50,0
0xa300,1634085208.866,0,-59,0,921.750,32.50,0
0xa300,1634085208.921,0,-59,0,921.750,32.50,0
0xa300,1634085208.974,0,-59,0,921.750,32.50,0
0xa300,1634085209.027,0,-59,0,921.750,32.50,0
0xa300,1634085209.083,0,-61,0,905.750,32.50,0
0xa300,1634085209.139,0,-61,0,905.750,32.50,0
0xa300,1634085209.192,0,-61,0,905.750,32.50,0
0xa300,1634085209.245,0,-61,0,905.750,32.50,0
0xa300,1634085209.299,0,-58,0,927.250,32.50,0
0xa300,1634085209.351,0,-58,0,927.250,32.50,0
0xa300,1634085209.404,0,-58,0,927.250,32.50,0
0xa300,1634085209.457,0,-58,0,927.250,32.50,0
0xa300,1634085209.510,0,-59,0,924.750,32.50,0
0xa300,1634085209.563,0,-58,0,924.750,32.50,0
0xa300,1634085209.616,0,-59,0,924.750,32.50,0
0xa300,1634085209.669,0,-59,0,924.750,32.50,0
0xa300,1634085209.722,0,-61,0,906.250,32.50,0
0xa300,1634085209.777,0,-61,0,906.250,32.50,0
0xa300,1634085209.830,0,-61,0,906.250,32.50,0
0xa300,1634085209.883,0,-61,0,906.250,32.50,0
0xa300,1634085209.935,0,-60,0,910.250,32.50,0
0xa300,1634085209.988,0,-60,0,910.250,32.50,0
0xa300,1634085210.041,0,-60,0,910.250,32.50,0
0xa300,1634085210.095,0,-60,0,910.250,32.50,0
0xa300,1634085210.148,0,-60,0,915.250,32.50,0
0xa300,1634085210.200,0,-60,0,915.250,32.50,0
0xa300,1634085210.255,0,-60,0,915.250,32.50,0
0xa300,1634085210.309,0,-60,0,915.250,32.50,0
0xa300,1634085210.363,0,-61,0,904.250,32.50,0
0xa300,1634085210.416,0,-61,0,904.250,32.50,0
0xa300,1634085210.470,0,-61,0,904.250,32.50,0
0xa300,1634085210.524,0,-61,0,904.250,32.50,0
0xa300,1634085210.577,0,-59,0,918.750,32.50,0
0xa300,1634085210.631,0,-59,0,918.750,32.50,0
0xa300,1634085210.684,0,-59,0,918.750,32.50,0
0xa300,1634085210.738,0,-59,0,918.750,32.50,0
0xa300,1634085210.791,0,-60,0,913.250,32.50,0
0xa300,1634085210.844,0,-60,0,913.250,32.50,0
0xa300,1634085210.897,0,-60,0,913.250,32.50,0
0xa300,1634085210.950,0,-60,0,913.250,32.50,0
0xa300,1634085211.003,0,-61,0,905.250,32.50,0
0xa300,1634085211.057,0,-61,0,905.250,32.50,0
0xa300,1634085211.111,0,-61,0,905.250,32.50,0
0xa300,1634085211.164,0,-61,0,905.250,32.50,0
0xa300,1634085211.217,0,-59,0,922.250,32.50,0
0xa300,1634085211.270,0,-60,0,922.250,32.50,0
0xa300,1634085211.324,0,-59,0,922.250,32.50,0
0xa300,1634085211.377,0,-59,0,922.250,32.50,0
0xa300,1634085211.430,0,-59,0,919.750,32.50,0
0xa300,1634085211.483,0,-59,0,919.750,32.50,0
0xa300,1634085211.539,0,-59,0,919.750,32.50,0
0xa300,1634085211.592,0,-59,0,919.750,32.50,0
0xa300,1634085211.648,0,-60,0,907.750,32.50,0
0xa300,1634085211.701,0,-60,0,907.750,32.50,0
0xa300,1634085211.753,0,-61,0,907.750,32.50,0
0xa300,1634085211.808,0,-60,0,907.750,32.50,0
0xa300,1634085211.861,0,-60,0,912.250,32.50,0
0xa300,1634085211.915,0,-60,0,912.250,32.50,0
0xa300,1634085211.968,0,-60,0,912.250,32.50,0
0xa300,1634085212.022,0,-60,0,912.250,32.50,0
0xa300,1634085212.076,0,-58,0,926.250,32.50,0
0xa300,1634085212.129,0,-58,0,926.250,32.50,0
0xa300,1634085212.181,0,-58,0,926.250,32.50,0
0xa300,1634085212.236,0,-58,0,926.250,32.50,0
0xa300,1634085212.289,0,-59,0,921.250,32.50,0
0xa300,1634085212.343,0,-59,0,921.250,32.50,0
0xa300,1634085212.399,0,-59,0,921.250,32.50,0
0xa300,1634085212.452,0,-59,0,921.250,32.50,0
0xa300,1634085212.505,0,-60,0,907.250,32.50,0
0xa300,1634085212.558,0,-60,0,907.250,32.50,0
0xa300,1634085212.611,0,-60,0,907.250,32.50,0
0xa300,1634085212.664,0,-61,0,907.250,32.50,0
0xa300,1634085212.718,0,-59,0,917.750,32.50,0
0xa300,1634085212.771,0,-60,0,917.750,32.50,0
0xa300,1634085212.823,0,-60,0,917.750,32.50,0
0xa300,1634085212.877,0,-60,0,917.750,32.50,0
0xa300,1634085212.930,0,-60,0,916.750,32.50,0
0xa300,1634085212.984,0,-60,0,916.750,32.50,0
0xa300,1634085213.038,0,-60,0,916.750,32.50,0
0xa300,1634085213.090,0,-60,0,916.750,32.50,0
0xa300,1634085213.144,0,-59,0,922.750,32.50,0
0xa300,1634085213.197,0,-59,0,922.750,32.50,0
0xa300,1634085213.251,0,-59,0,922.750,32.50,0
0xa300,1634085213.304,0,-59,0,922.750,32.50,0
0xa300,1634085213.360,0,-61,0,903.750,32.50,0
0xa300,1634085213.413,0,-61,0,903.750,32.50,0
0xa300,1634085213.468,0,-61,0,903.750,32.50,0
0xa300,1634085213.521,0,-61,0,903.750,32.50,0
0xa300,1634085213.575,0,-60,0,916.250,32.50,0
0xa300,1634085213.630,0,-60,0,916.250,32.50,0
0xa300,1634085213.684,0,-60,0,916.250,32.50,0
0xa300,1634085213.740,0,-60,0,916.250,32.50,0
0xa300,1634085213.794,0,-59,0,919.250,32.50,0
0xa300,1634085213.848,0,-59,0,919.250,32.50,0
0xa300,1634085213.900,0,-59,0,919.250,32.50,0
0xa300,1634085213.953,0,-59,0,919.250,32.50,0
0xa300,1634085214.006,0,-59,0,923.250,32.50,0
0xa300,1634085214.059,0,-59,0,923.250,32.50,0
0xa300,1634085214.114,0,-59,0,923.250,32.50,0
0xa300,1634085214.167,0,-59,0,923.250,32.50,0
0xa300,1634085214.220,0,-60,0,913.750,32.50,0
0xa300,1634085214.274,0,-60,0,913.750,32.50,0
0xa300,1634085214.328,0,-60,0,913.750,32.50,0
0xa300,1634085214.382,0,-60,0,913.750,32.50,0
0xa300,1634085214.435,0,-59,0,924.250,32.50,0
0xa300,1634085214.489,0,-59,0,924.250,32.50,0
0xa300,1634085214.542,0,-59,0,924.250,32.50,0
0xa300,1634085214.595,0,-59,0,924.250,32.50,0
0xa300,1634085214.651,0,-59,0,925.250,32.50,0
0xa300,1634085214.703,0,-59,0,925.250,32.50,0
0xa300,1634085214.756,0,-59,0,925.250,32.50,0
0xa300,1634085214.809,0,-59,0,925.250,32.50,0
0xa300,1634085214.862,0,-61,0,902.750,32.50,0
0xa300,1634085214.914,0,-61,0,902.750,32.50,0
0xa300,1634085214.967,0,-61,0,902.750,32.50,0
0xa300,1634085215.022,0,-61,0,902.750,32.50,0
0xa300,1634085215.076,0,-60,0,910.750,32.50,0
0xa300,1634085215.129,0,-60,0,910.750,32.50,0
0xa300,1634085215.182,0,-60,0,910.750,32.50,0
0xa300,1634085215.235,0,-60,0,910.750,32.50,0
0xa300,1634085215.288,0,-60,0,918.250,32.50,0
0xa300,1634085215.341,0,-59,0,918.250,32.50,0
0xa300,1634085215.395,0,-60,0,918.250,32.50,0
0xa300,1634085215.448,0,-59,0,918.250,32.50,0
0xa300,1634085215.501,0,-60,0,908.750,32.50,0
0xa300,1634085215.554,0,-60,0,908.750,32.50,0
0xa300,1634085215.607,0,-60,0,908.750,32.50,0
0xa300,1634085215.661,0,-60,0,908.750,32.50,0
0xa300,1634085215.713,0,-59,0,923.750,32.50,0
0xa300,1634085215.768,0,-59,0,923.750,32.50,0
0xa300,1634085215.821,0,-59,0,923.750,32.50,0
0xa300,1634085215.873,0,-59,0,923.750,32.50,0
0xa300,1634085215.926,0,-60,0,911.250,32.50,0
0xa300,1634085215.979,0,-60,0,911.250,32.50,0
0xa300,1634085216.032,0,-60,0,911.250,32.50,0
0xa300,1634085216.085,0,-60,0,911.250,32.50,0
0xa300,1634085216.139,0,-58,0,925.750,32.50,0
0xa300,1634085216.192,0,-59,0,925.750,32.50,0
0xa300,1634085216.245,0,-59,0,925.750,32.50,0
0xa300,1634085216.299,0,-59,0,925.750,32.50,0
0xa300,1634085216.352,0,-61,0,906.750,32.50,0
0xa300,1634085216.405,0,-61,0,906.750,32.50,0
0xa300,1634085216.459,0,-61,0,906.750,32.50,0
0xa300,1634085216.512,0,-61,0,906.750,32.50,0
0xa300,1634085216.565,0,-58,0,926.750,32.50,0
0xa300,1634085216.620,0,-58,0,926.750,32.50,0
0xa300,1634085216.673,0,-58,0,926.750,32.50,0
0xa300,1634085216.726,0,-58,0,926.750,32.50,0
0xa300,1634085216.779,0,-60,0,920.750,32.50,0
0xa300,1634085216.833,0,-60,0,920.750,32.50,0
0xa300,1634085216.886,0,-60,0,920.750,32.50,0
0xa300,1634085216.939,0,-60,0,920.750,32.50,0
0xa300,1634085216.991,0,-60,0,914.250,32.50,0
0xa300,1634085217.044,0,-60,0,914.250,32.50,0
0xa300,1634085217.097,0,-60,0,914.250,32.50,0
0xa300,1634085217.151,0,-60,0,914.250,32.50,0
0xa300,1634085217.203,0,-60,0,911.750,32.50,0
0xa300,1634085217.257,0,-60,0,911.750,32.50,0
0xa300,1634085217.313,0,-60,0,911.750,32.50,0
0xa300,1634085217.366,0,-60,0,911.750,32.50,0
0xa300,1634085217.419,0,-61,0,904.750,32.50,0
0xa300,1634085217.473,0,-61,0,904.750,32.50,0
0xa300,1634085217.525,0,-61,0,904.750,32.50,0
0xa300,1634085217.578,0,-61,0,904.750,32.50,0
0xa300,1634085217.631,0,-60,0,914.750,32.50,0
0xa300,1634085217.687,0,-60,0,914.750,32.50,0
0xa300,1634085217.739,0,-60,0,914.750,32.50,0
0xa300,1634085217.792,0,-60,0,914.750,32.50,0
0xa300,1634085217.846,0,-60,0,908.250,32.50,0
0xa300,1634085217.898,0,-60,0,908.250,32.50,0
0xa300,1634085217.952,0,-60,0,908.250,32.50,0
0xa300,1634085218.006,0,-60,0,908.250,32.50,0
0xa300,1634085218.059,0,-60,0,909.750,32.50,0
0xa300,1634085218.112,0,-60,0,909.750,32.50,0
0xa300,1634085218.166,0,-60,0,909.750,32.50,0
0xa300,1634085218.218,0,-60,0,909.750,32.50,0
0xa300,1634085218.273,0,-60,0,915.750,32.50,0
0xa300,1634085218.326,0,-60,0,915.750,32.50,0
0xa300,1634085218.379,0,-60,0,915.750,32.50,0
0xa300,1634085218.431,0,-60,0,915.750,32.50,0
0xa300,1634085218.484,0,-60,0,912.750,32.50,0
0xa300,1634085218.537,0,-60,0,912.750,32.50,0
0xa300,1634085218.591,0,-60,0,912.750,32.50,0
0xa300,1634085218.645,0,-60,0,912.750,32.50,0
0xa300,1634085218.700,0,-60,0,909.250,32.50,0
0xa300,1634085218.754,0,-60,0,909.250,32.50,0
0xa300,1634085218.807,0,-59,0,909.250,32.50,0
0xa300,1634085218.860,0,-60,0,909.250,32.50,0
0xa300,1634085218.914,0,-61,0,903.250,32.50,0
0xa300,1634085218.967,0,-61,0,903.250,32.50,0
0xa300,1634085219.021,0,-61,0,903.250,32.50,0
0xa300,1634085219.074,0,-61,0,903.250,32.50,0
0xa300,1634085219.126,0,-59,0,917.250,32.50,0
0xa300,1634085219.180,0,-60,0,917.250,32.50,0
0xa300,1634085219.234,0,-60,0,917.250,32.50,0
0xa300,1634085219.287,0,-60,0,917.250,32.50,0
0xa300,1634085219.340,0,-59,0,920.250,32.50,0
0xa300,1634085219.393,0,-59,0,920.250,32.50,0
0xa300,1634085219.446,0,-59,0,920.250,32.50,0
